10 B
11 s 0 1
011 s 1 1
0100 s 0 2
0101 s 2 1
0010 1 s 0 3
0011 1 s 3 1
0011 0 s 4 1
0001 10 s 1 2
0001 11 s 5 1
0001 01 s 6 1
0001 00 s 7 1
0000 110 s 0 4
0000 100 s 2 2
0000 111 s 8 1
0000 101 s 9 1
0000 01 E
0010 0110 s 0 5
0010 0001 s 0 6
0010 0101 s 1 3
0010 0100 s 3 2
0010 0111 s 10 1
0010 0011 s 11 1
0010 0010 s 12 1
0010 0000 s 13 1
0000 0010 10 s 0 7
0000 0011 00 s 1 4
0000 0010 11 s 2 3
0000 0011 11 s 4 2
0000 0010 01 s 5 2
0000 0011 10 s 14 1
0000 0011 01 s 15 1
0000 0010 00 s 16 1
0000 0001 1101 s 0 8
0000 0001 1000 s 0 9
0000 0001 0011 s 0 10
0000 0001 0000 s 0 11
0000 0001 1011 s 1 5
0000 0001 0100 s 2 4
0000 0001 1100 s 3 3
0000 0001 0010 s 4 3
0000 0001 1110 s 6 2
0000 0001 0101 s 7 2
0000 0001 0001 s 8 2
0000 0001 1111 s 17 1
0000 0001 1010 s 18 1
0000 0001 1001 s 19 1
0000 0001 0111 s 20 1
0000 0001 0110 s 21 1
0000 0000 1101 0 s 0 12
0000 0000 1100 1 s 0 13
0000 0000 1100 0 s 0 14
0000 0000 1011 1 s 0 15
0000 0000 1011 0 s 1 6
0000 0000 1010 1 s 1 7
0000 0000 1010 0 s 2 5
0000 0000 1001 1 s 3 4
0000 0000 1001 0 s 5 3
0000 0000 1000 1 s 9 2
0000 0000 1000 0 s 10 2
0000 0000 1111 1 s 22 1
0000 0000 1111 0 s 23 1
0000 0000 1110 1 s 24 1
0000 0000 1110 0 s 25 1
0000 0000 1101 1 s 26 1
0000 0000 0111 11 s 0 16
0000 0000 0111 10 s 0 17
0000 0000 0111 01 s 0 18
0000 0000 0111 00 s 0 19
0000 0000 0110 11 s 0 20
0000 0000 0110 10 s 0 21
0000 0000 0110 01 s 0 22
0000 0000 0110 00 s 0 23
0000 0000 0101 11 s 0 24
0000 0000 0101 10 s 0 25
0000 0000 0101 01 s 0 26
0000 0000 0101 00 s 0 27
0000 0000 0100 11 s 0 28
0000 0000 0100 10 s 0 29
0000 0000 0100 01 s 0 30
0000 0000 0100 00 s 0 31
0000 0000 0011 000 s 0 32
0000 0000 0010 111 s 0 33
0000 0000 0010 110 s 0 34
0000 0000 0010 101 s 0 35
0000 0000 0010 100 s 0 36
0000 0000 0010 011 s 0 37
0000 0000 0010 010 s 0 38
0000 0000 0010 001 s 0 39
0000 0000 0010 000 s 0 40
0000 0000 0011 111 s 1 8
0000 0000 0011 110 s 1 9
0000 0000 0011 101 s 1 10
0000 0000 0011 100 s 1 11
0000 0000 0011 011 s 1 12
0000 0000 0011 010 s 1 13
0000 0000 0011 001 s 1 14
0000 0000 0001 0011 s 1 15
0000 0000 0001 0010 s 1 16
0000 0000 0001 0001 s 1 17
0000 0000 0001 0000 s 1 18
0000 0000 0001 0100 s 6 3
0000 0000 0001 1010 s 11 2
0000 0000 0001 1001 s 12 2
0000 0000 0001 1000 s 13 2
0000 0000 0001 0111 s 14 2
0000 0000 0001 0110 s 15 2
0000 0000 0001 0101 s 16 2
0000 0000 0001 1111 s 27 1
0000 0000 0001 1110 s 28 1
0000 0000 0001 1101 s 29 1
0000 0000 0001 1100 s 30 1
0000 0000 0001 1011 s 31 1
